experiment_id,series,model,epochs,loss,weight_mult,dropout_p,scheduler,warmup_epochs,lr_backbone,lr_head,colab_val_thresh,colab_val_F1,colab_val_recall,colab_val_prec,colab_val_AUC,fresh_val_thresh,fresh_val_F1,fresh_val_recall,fresh_val_prec,fresh_val_acc,fresh_val_AUC,test_sweep_thresh,test_sweep_F1,test_sweep_recall,test_sweep_prec,test_sweep_acc,test_sweep_AUC,notes
D1,D1,DenseNet-169,50,weighted_ce,0.5,0.0,plateau,,1.0e-4,1.0e-4,0.350,0.698,0.646,0.747,0.855,0.175,0.7239,0.7195,0.7284,0.9072,0.8439,0.350,0.6838,0.6557,0.7143,0.8886,0.8467,"D-SERIES CHAMPION; full fine-tune flat LR; best at epoch 13 then overfits; TTA hurts −3.95pp; approved inference thresh=0.175 (val-sweep)"
D2,D2,DenseNet-169,50,weighted_ce,0.5,0.3,cosine_warmup,3,1.0e-5,1.0e-3,0.875,0.631,0.500,0.854,0.854,0.475,0.6434,0.5610,0.7541,0.8948,0.8577,0.075,0.5865,0.6393,0.5417,0.8343,0.8521,"dropout=0.3 over-regularizes DenseNet dense connections; threshold collapsed (0.875 colab / 0.075 test); recall unstable; D1 strictly better on all splits"
D3,D3,DenseNet-169,50,weighted_ce,0.5,0.0,plateau,,1.0e-4,1.0e-4,,,,,,,0.500,0.6622,0.5976,0.7424,,0.8612,,,,,,"CAALMIX step 1 — CLAHE all splits; early-stopped ep24 (best ep9 patience=15); CLAHE hurts DenseNet −6.17pp vs D1; D4/D5 skipped — unrecoverable; architecture-selective finding: CLAHE helps ResNet +3.11pp hurts DenseNet −6.17pp"
